round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第三輪新增,KCAT-NOLITTER-047,砂盆,B｜可順手買,strong,CatsTag BESPOKE Myorae Box Long 大型砂盆,캣츠태그 BESPOKE 묘래박스 롱 고양이 화장실 대형,CatsTag / 캣츠태그,塑膠開放式大砂盆,Naver Gift/SmartStore / 코니허브,"約48,800 KRW",台灣主流通路未確認,韓國貓家庭討論度高的大型砂盆，適合大貓,非常佔行李；性價比需評估,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://shopping.naver.com/gift/products/5164371075,https://shopee.tw/search?keyword=CatsTag%20%E8%B2%93%E7%A0%82%E7%9B%86,確認行李箱尺寸；原清單ID：KCAT100-066,keep,high,Korea very high,"Korea Naver product 4.93/5, 4,688 reviews",最強砂盆人氣證據，保留上調。,4,1
第四輪新增,KCAT-POP-086,玩具,A,high,Petmorn 瓢蟲機器蟲貓玩具,펫모닝 무당벌레 로봇버그 1p,Petmorn / 펫모닝,機器蟲玩具,PetFriends,"3,750 KRW",台灣有相似機器蟲玩具,小型塑膠電子蟲可激發追逐本能,小零件/電池需防咬；地面使用需監督,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/27748,https://shopee.tw/search?keyword=%E8%B2%93%20%E6%A9%9F%E5%99%A8%E8%9F%B2%20%E7%93%A2%E8%9F%B2,,keep,high,Korea very high,"PetFriends 4.5/5, 6,813 reviews","韓國 6,000+ 評論，強人氣玩具。",4,2
第四輪新增,KCAT-POP-090,家具,A,high,Graydog 白色窗邊貓吊床,그레이독 윈도우 해먹 화이트,Graydog / 그레이독,窗邊吸盤吊床,PetFriends,"29,900 KRW",台灣有相似窗邊吊床,不佔地窗邊休息平台，適合小宅貓,吸盤/承重需定期檢查,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/348849,https://shopee.tw/search?keyword=%E8%B2%93%20%E7%AA%97%E9%82%8A%20%E5%90%8A%E5%BA%8A%20%E5%90%B8%E7%9B%A4,,keep,high,Korea very high,"PetFriends 4.5/5, 5,685 reviews","韓國窗邊吊床 5,000+ 評論，強人氣。",4,3
第四輪新增,KCAT-POP-095,玩具,A,high,Cat’s Favorite Kitty Boinks 彈簧玩具12入,캣츠 페이버릿 키티보잉스 12p,Cat’s Favorite,塑膠彈簧玩具,PetFriends,"2,900 KRW",台灣有相似塑膠彈簧玩具,低成本塑膠彈跳玩具，無羽毛/草類,小玩具需避免誤吞；破損即丟棄,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/27327,https://shopee.tw/search?keyword=Kitty%20Boinks%20%E8%B2%93%20%E5%BD%88%E7%B0%A7,,keep,high,Korea very high,"PetFriends 4.5/5, 4,663 reviews",超高評論、輕小、非植物/動物材料。,4,4
第三輪新增,KCAT-NOLITTER-045,清潔周邊,A｜優先買,strong,LabCat 不鏽鋼細孔貓砂鏟,랩캣 고양이 모래삽 스테인리스 화장실 촘촘삽 슈퍼 똥삽,LabCat / 랩캣,不鏽鋼砂鏟,Naver Shopping / 코니허브 / 오늘의집,"約6,500 KRW",台灣有泛用不鏽鋼砂鏟；此品牌未見主流通路,金屬材質輕小耐用，比塑膠鏟更好清洗,邊緣與孔徑需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://conyhub.kr/products/16785/,https://shopee.tw/search?keyword=%E4%B8%8D%E9%8F%BD%E9%8B%BC%20%E8%B2%93%E7%A0%82%E9%8F%9F,托運較安全；原清單ID：KCAT100-064,keep,high,Korea high review-count signal,Korea Conyhub/LabCat listing 800+ reviews,本批最強工具項之一，高評論數，上調。,3,5
第三輪新增,KCAT-NOLITTER-056,隧道/躲藏,A｜優先買,strong,迷宮式毛氈隧道,펫홀릭 미로터널,펫홀릭,可組合隧道/躲藏屋,PetFriends / Coupang / Naver Shopping,"約29,600–34,500 KRW",台灣未見同品牌常態販售,可折疊互動性高，適合可變換空間的貓家庭,需監督接縫與啃咬,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/songmin3466/224205910142,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%ED%99%80%EB%A6%AD+%EB%AF%B8%EB%A1%9C%ED%84%B0%EB%84%90,只選合成纖維且不附貓薄荷/木天蓼版本；原清單ID：KCAT100-075,keep,high,Korea very high,"KR PetFriends 4.6/5, 6,168 reviews; Naver Shopping 4.69/5, 1,170 reviews",本批最強人氣訊號之一，上調。,3,6
第三輪新增,KCAT-NOLITTER-069,餵食/飲水工具,A｜優先買,strong,PETLIBRO Granary Camera 影像自動餵食器,펫리브로 카메라 자동급식기,PETLIBRO,Wi‑Fi攝影機自動餵食器,LotteON / Naver Shopping / Coupang / 韓國部落格,"約220,000–398,000 KRW",台灣蝦皮/電商可見PETLIBRO同品牌,可遠端看進食、錄音提醒，功能差異明顯,App地區、2.4GHz、保固、隱私需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=PETLIBRO%20%EC%9E%90%EB%8F%99%EA%B8%89%EC%8B%9D%EA%B8%B0%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://shopee.tw/search?keyword=PETLIBRO%20%E8%87%AA%E5%8B%95%E9%A4%B5%E9%A3%9F%E5%99%A8%20%E8%B2%93,確認韓版/美版、插頭與App功能；原清單ID：KCAT100-088,keep,high,Taiwan high,PETLIBRO 自動餵食器台灣能見度高；韓國 LotteON/Naver 可見,智慧影像餵食器熱門，上調。,3,7
第四輪新增,KCAT-POP-067,自動貓砂盆,A,high,PETKIT PURA MAX 2 全自動智能貓砂機,펫킷 퓨라맥스2 고양이 자동화장실,PETKIT,自動貓砂盆,Danawa / PETKIT Korea / Naver Pay,"399,000–505,000 KRW",momo PETKIT PURA MAX listings,多貓家庭省鏟砂；APP/除臭配件生態完整,體積大；售後/耗材/電壓與APP區域需確認,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%ED%8E%AB%ED%82%B7%20%ED%93%A8%EB%9D%BC%EB%A7%A5%EC%8A%A42%20%EA%B3%A0%EC%96%91%EC%9D%B4%EC%9E%90%EB%8F%99%ED%99%94%EC%9E%A5%EC%8B%A4,https://www.momoshop.com.tw/search/PETKIT%20PURA%20MAX?viewport=desktop,Naver Shopping/Coupang blocked,keep,high,Korea+Taiwan marketplace depth,Danawa 34; momo 25/brand 19,大型智能砂盆在韓台都有明顯通路深度。,3,8
第四輪新增,KCAT-POP-070,自動貓砂盆,A,high,Neakasa M1 開放式全自動貓砂機,니카사 M1 오픈형 고양이 자동화장실,Neakasa,開放式自動貓砂盆,Danawa / overseas purchase / open market,"1,119,300 KRW observed; accessories 34,230–129,150",momo Neakasa M1/M1+,開放式設計，適合怕封閉箱的貓,價格高；韓國海外購售後需確認,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%EB%8B%88%EC%B9%B4%EC%82%AC%20M1%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9E%90%EB%8F%99%ED%99%94%EC%9E%A5%EC%8B%A4,https://www.momoshop.com.tw/search/Neakasa%20M1%20%E8%B2%93%E7%A0%82%E6%A9%9F?viewport=desktop,Naver/Coupang blocked,keep,high,Very high KR marketplace count,Danawa 70; momo 3,韓國列表深度高且台灣有精準 M1/M1+ 商品。,3,9
第四輪新增,KCAT-POP-071,自動貓砂盆,A,high,Petree 二代開放式自動貓砂機,펫트리 2세대 오픈형 고양이 자동화장실,Petree,開放式自動貓砂盆,Danawa / open market,"545,400–836,360 KRW",momo Petree listings,開放式自動砂盆，台灣可買耗材袋,與既有 Petree 餵食器不同類別；需核型號,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%ED%8E%AB%ED%8A%B8%EB%A6%AC%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9E%90%EB%8F%99%20%ED%99%94%EC%9E%A5%EC%8B%A4,https://www.momoshop.com.tw/search/Petree%20%E8%87%AA%E5%8B%95%E8%B2%93%E7%A0%82%E7%9B%86?viewport=desktop,Naver/Coupang blocked,keep,high,Very high KR listing count,Danawa 82; momo 2 exact-brand goods,韓國市場能見度高，台灣也有品牌/耗材線索。,3,10
